age,gender,education_level,device_hours_per_day,phone_unlocks,notifications_per_day,social_media_mins,study_mins,physical_activity_days,sleep_hours,sleep_quality,stress_level,productivity_score,digital_dependence_score
15,female,high school,9.94,177,104,180,0,4.0,6.412085343041421,2.995108207180093,1.0,75.0,38.0
27,female,master,14.38,200,476,148,46,4.0,4.659008732445433,3.0812771395412843,5.00626277296813,74.0,61.1
17,male,high school,6.76,146,182,166,0,3.0,7.211652562048101,2.991685742691854,1.1578017912501353,57.0,36.68415185296776
34,male,bachelor,2.45,39,545,46,182,4.0,8.388344087213595,3.0507164470199823,2.8726931953366406,62.0,21.9
16,male,high school,4.55,104,517,50,130,6.0,9.17636942900579,3.237666136690996,3.889765789424618,68.0,29.9
18,male,bachelor,2.56,80,119,191,44,3.0,7.758271429405124,2.91403935564397,1.0,75.0,13.0
30,male,bachelor,5.59,153,268,41,45,4.0,7.574544007013483,3.134741143728071,10.0,60.0,36.68415185296776
17,male,high school,3.96,59,337,50,229,2.0,7.426577844742267,2.9883980059005526,1.0,63.0,20.3
19,male,bachelor,2.78,92,264,258,62,5.0,8.156714643029364,3.134164896822617,1.0,54.0,18.9
46,female,master,8.23,199,404,39,135,5.0,7.558764921353024,3.252964968465329,1.0,53.0,46.9
24,female,bachelor,13.65,311,176,332,124,0.0,6.224373911253337,2.712435047373364,9.352622258760256,73.0,60.9
32,female,master,6.28,103,379,120,212,3.0,8.296487850322352,2.9920619744339487,1.0,79.0,31.6
33,female,bachelor,10.65,175,432,91,77,3.0,7.542666904972116,3.04363482792986,5.09086894337754,64.0,49.9
32,male,high school,7.93,187,423,186,72,3.0,8.039315097022087,2.949090151729989,1.0,75.0,43.8
18,female,bachelor,5.47,103,455,252,0,1.0,8.220904872095732,2.7431936346036463,7.171132473602274,65.29930112427833,30.5
50,female,bachelor,5.05,38,272,71,76,2.0,9.206381356762895,2.811569877863434,1.0,59.0,22.6
29,female,bachelor,2.33,106,591,75,175,6.0,7.8524834514972275,3.314735633726542,7.70883257376728,65.29930112427833,27.8
46,male,bachelor,12.74,247,273,203,170,4.0,6.134634699579325,3.025473785805954,5.913954193880873,80.0,57.6
33,male,high school,4.98,109,206,75,218,0.0,8.34625340437879,2.723099605779935,5.280804037766603,65.0,25.0
31,male,phd,4.22,107,195,114,13,5.0,8.261186141328707,3.076171458018598,1.845822079612192,81.0,22.2
22,female,bachelor,7.88,179,131,168,52,4.0,5.537073461622228,3.0993419823043524,1.1117721468829684,39.0,35.7
24,female,bachelor,5.64,111,254,262,139,4.0,9.182695183458767,3.012847025376664,9.89038940526933,65.29930112427833,26.9
50,male,bachelor,8.36,206,186,0,81,4.0,8.78048615767152,3.0273618669548266,2.8960856965198603,66.0,42.3
33,female,high school,4.69,103,214,54,134,2.0,8.310800230018867,2.9071317521151845,1.0,62.0,24.1
23,male,bachelor,6.7,169,151,82,184,1.0,8.695587728806226,2.7590687911853395,3.205599913264232,66.0,31.8
32,female,bachelor,4.35,102,462,588,293,5.0,9.853524551695624,3.12288054845894,5.877770942624586,45.0,29.9
19,female,bachelor,5.41,126,560,246,84,2.0,8.461321765218736,2.96226621061954,5.086308941931842,63.0,35.3
47,male,bachelor,8.8,217,217,20,91,7.0,7.721896804822373,3.3129916690040107,2.7577976364352943,69.0,44.7
22,female,bachelor,3.38,49,73,73,62,3.0,7.181162487969966,2.9785674893625527,5.0648614981525375,80.0,11.3
15,female,high school,3.61,65,529,182,102,4.0,8.32690553231554,3.062668253811086,2.881164806290006,60.0,24.8
46,female,phd,12.0,278,328,44,90,1.0,5.417203925021811,2.79281433274879,8.203209880645634,65.29930112427833,60.6
41,female,phd,5.49,143,55,19,39,4.0,7.878292906908651,3.151732634325639,9.8896626619995,60.0,26.2
22,male,bachelor,6.0,158,288,207,228,0.0,7.055441933565628,2.6917785874241567,1.0,74.0,32.4
23,female,bachelor,7.63,173,320,49,115,2.0,8.342518708385104,2.902702039242573,8.042292277866062,68.0,38.6
28,female,bachelor,5.73,175,436,53,139,0.0,7.229125938017113,2.738137722268001,5.303382741095426,60.0,38.0
20,male,bachelor,4.65,84,286,509,74,1.0,6.721487737734232,2.862709212904276,9.205372372049142,70.0,22.9
16,female,high school,3.31,112,800,106,246,2.0,7.12216297464861,2.9473144280840584,9.14253732113361,66.0,34.9
23,female,master,10.06,203,138,298,70,0.0,8.367232161380274,2.7307855037265067,1.0,75.0,42.1
22,female,high school,5.49,139,210,160,119,5.0,7.186155547352643,3.1463429865903034,1.0,58.0,36.68415185296776
19,male,bachelor,4.06,78,141,107,52,2.0,7.560683011668252,2.908582468840074,1.1118065437865272,62.0,17.3
33,male,master,13.45,270,292,123,0,3.0,7.272792919810766,2.858433291962604,10.0,61.0,61.1
24,male,master,6.8,211,100,40,111,3.0,7.989388170986725,2.892590894617246,9.987031673538771,50.0,34.9
29,male,high school,10.09,246,302,373,149,5.0,7.740627847211608,3.101556477398552,1.8791958232109447,68.0,50.8
41,male,bachelor,5.34,70,230,157,146,3.0,7.067563030251573,2.943960440922292,6.110832174645446,68.0,23.8
19,male,bachelor,14.01,190,557,302,86,4.0,6.152392525414546,2.9919608972396863,9.924495706237792,65.0,60.9
16,female,high school,5.12,101,270,86,239,7.0,6.887137759981238,3.329058077696849,1.0,63.0,24.8
35,female,bachelor,7.26,131,89,89,178,1.0,7.999165553471046,2.812377008598492,10.0,51.0,29.9
16,female,high school,4.67,131,51,168,2,4.0,9.128402132800373,3.041190290968551,1.0,61.0,20.7
41,female,master,6.14,92,392,252,0,4.0,7.8753043943710335,2.989117254612524,1.011152377556776,62.0,31.9
39,female,bachelor,5.13,126,518,0,169,4.0,7.114112244632262,3.049697775125653,3.8968917155618006,57.0,35.5
17,male,high school,3.95,80,1105,151,0,2.0,6.024606165518449,2.7608214933444457,3.084811424362808,65.29930112427833,41.6
20,female,high school,2.74,41,96,62,43,4.0,6.085233666864286,3.043777202797601,3.112981756298617,65.29930112427833,9.8
43,female,bachelor,9.43,209,337,82,19,2.0,6.349469160424807,2.8953149145847643,3.289318533689829,84.0,47.8
15,female,high school,8.2,139,740,353,183,5.0,4.638497138526186,3.143905411150726,9.861659777085704,67.0,47.1
24,male,bachelor,2.46,61,305,122,186,6.0,7.655989832196568,3.133489217357445,1.0,68.0,16.6
19,male,bachelor,8.04,225,929,47,28,5.0,8.068570347697738,3.1430504987692247,3.646178950650486,64.0,59.2
17,female,high school,2.88,56,158,131,159,4.0,7.372741514745921,2.999853454844666,4.867762526965846,46.0,13.4
30,female,master,3.68,82,424,56,186,0.0,9.835491392625457,2.6917629523362434,4.319221444878334,65.0,24.9
24,male,bachelor,14.82,310,176,197,47,3.0,6.255625968488154,3.007936944032268,10.0,66.0,63.8
23,female,bachelor,4.85,101,137,611,0,2.0,7.136411869424479,2.992861417312364,5.104596836796247,90.0,20.6
24,female,bachelor,13.09,279,283,176,170,2.0,5.918662522390052,2.8947236690845104,8.939790255152857,63.0,59.9
24,male,bachelor,9.17,211,301,169,117,3.0,6.979785898258985,2.931185601809123,3.0681614698418387,68.0,45.2
26,female,bachelor,4.91,98,166,77,246,1.0,8.092797697786585,2.8217046099231182,7.293797546865624,65.0,22.3
21,male,high school,13.82,304,397,35,146,7.0,5.1156701646353175,3.3385304070031245,4.739379971156309,53.0,66.6
21,male,bachelor,16.51,261,257,83,146,4.0,6.078184950150549,3.0829748966315296,9.867701901034144,76.0,65.2
24,female,bachelor,5.62,72,429,153,26,6.0,8.403295116219535,3.348849949154596,4.648127873335729,73.0,28.0
21,male,bachelor,3.31,67,396,52,0,5.0,8.322897152645941,3.0960427834799176,2.6098550252099746,73.0,21.0
44,female,bachelor,5.88,152,284,18,173,5.0,8.008174848084781,3.144421235930616,3.800768437159861,65.29930112427833,34.1
25,male,bachelor,10.01,120,249,21,240,3.0,6.862037700969218,3.049486272412045,3.109368442830128,79.0,37.8
29,female,bachelor,6.92,206,511,272,102,1.0,7.963667470586506,2.886579049398545,2.201363787627758,51.0,45.7
34,female,bachelor,8.33,141,66,72,64,2.0,7.092821816272663,2.7946518348181573,10.0,71.0,32.0
30,female,master,3.22,91,146,83,0,6.0,9.204289654363496,3.21152642452941,1.6972133390949593,87.0,16.9
26,male,bachelor,11.65,262,509,272,77,5.0,6.173800362980459,3.206035700227086,4.836013166830217,55.0,61.2
34,male,phd,8.96,184,148,382,0,3.0,6.735328147003408,3.1165725242610915,1.0,59.0,39.6
24,female,bachelor,3.53,81,146,157,44,3.0,7.692149588700397,3.007230168928676,1.0,66.0,16.8
15,male,high school,4.25,104,253,238,52,3.0,8.193240656130236,2.9536472100563103,9.87893391675694,60.0,22.6
26,female,bachelor,6.44,175,264,72,72,5.0,8.047326277212555,3.0813495043127817,9.879749620488184,49.0,35.4
41,female,bachelor,4.85,80,398,489,32,2.0,9.277545594755209,3.003092899020919,1.0,66.0,27.9
28,female,master,14.73,297,268,59,203,6.0,4.683555282936956,3.2481313848546973,6.826484239905042,54.0,36.68415185296776
27,female,bachelor,4.43,58,255,107,88,7.0,6.693069841634725,3.2491756027838963,4.529630570327695,70.0,19.9
17,female,high school,4.85,119,172,194,0,1.0,7.0699317820579175,2.8021132692309294,10.0,56.0,23.5
31,female,master,11.11,192,26,89,28,3.0,6.439752122298731,2.9875497005825697,1.082384825096074,80.0,41.4
30,female,master,4.38,67,113,562,102,1.0,8.372308778299537,2.8394614202420243,10.0,57.0,17.6
33,female,bachelor,10.36,160,645,136,84,3.0,7.282210569847586,2.927059441863845,2.968055558334365,62.0,53.3
31,female,bachelor,15.36,300,236,270,79,6.0,5.031530337413973,3.1809847846251347,7.52638237479363,73.0,66.2
28,female,bachelor,7.52,167,76,178,141,4.0,6.586395507988235,2.9692782902192447,1.9585234659669013,53.0,32.6
22,male,bachelor,9.51,201,265,53,79,1.0,5.516535592498425,2.864259202027857,10.0,67.0,44.0
42,female,high school,8.91,171,316,114,155,4.0,6.819031245032937,3.034844094999377,9.885432994779228,78.0,42.9
29,female,master,14.34,285,134,61,64,2.0,6.038298714377618,2.915471813603541,7.204907987571402,49.0,60.4
30,female,high school,7.0,127,132,395,196,3.0,8.222190920984175,3.043153300169951,1.0,67.0,29.1
38,male,bachelor,12.8,125,341,25,49,5.0,4.116070872872281,3.1428031690533484,4.718718179865708,68.0,36.68415185296776
22,female,bachelor,11.68,250,115,94,0,1.0,5.156692567792503,2.8066225637501647,10.0,73.0,49.4
39,male,master,14.65,178,222,100,125,3.0,7.894928293073895,2.981736448585332,9.9469624391345,53.0,55.1
40,male,bachelor,11.29,221,343,183,207,2.0,7.902005699166284,2.895315411336888,5.335233342055508,52.0,54.0
23,male,master,11.53,153,769,412,260,1.0,6.007066807661309,2.8745793374415154,8.308127358517797,70.0,57.6
35,female,high school,10.96,217,282,205,80,4.0,5.245644796579784,3.0674669382148325,5.945855629574144,68.0,50.4
22,male,high school,10.59,133,433,91,0,5.0,7.080023900992519,3.1045896109557054,1.0,68.0,45.1
27,male,bachelor,6.15,138,530,104,0,7.0,7.8647208326371905,3.343971401972655,1.0,68.0,37.9
34,male,bachelor,8.4,148,133,303,61,3.0,7.05970570761238,3.033564592559052,4.130655179013881,58.0,34.9
18,female,bachelor,10.22,235,837,103,103,4.0,4.802916028805942,2.9850084869968696,4.891518982863868,67.0,62.8
34,female,bachelor,8.41,152,245,57,0,2.0,8.230926055657347,2.968794925382782,1.0,68.0,37.8
16,female,high school,6.03,102,252,235,191,7.0,8.872553483519894,3.309814537788592,1.0,58.0,26.7
34,female,high school,15.3,239,241,108,29,7.0,6.466894980708871,3.305742446635497,9.766440598375915,84.0,61.0
14,female,high school,4.93,153,323,178,107,1.0,9.35543312518333,2.862602319127444,1.0,70.0,29.7
29,male,high school,3.51,82,138,383,48,4.0,7.300890714789654,3.023576198787679,5.030411187390833,53.0,17.5
28,male,bachelor,7.14,167,196,126,63,3.0,5.909740713085058,3.019748600450681,1.9905267183700948,72.0,34.2
17,female,high school,3.48,67,107,56,86,3.0,9.2509854449639,2.953201601254242,4.121930389350547,55.0,14.2
17,female,high school,10.23,242,159,222,0,3.0,6.512540231302199,2.8982928407556177,10.0,73.0,45.8
21,female,bachelor,7.34,142,125,89,156,0.0,6.961073438947731,2.6824986299955134,10.0,77.0,29.9
22,female,bachelor,11.81,304,145,114,158,1.0,4.947945506173692,2.8406221791927795,10.0,65.29930112427833,55.4
23,female,bachelor,15.15,309,284,321,103,7.0,5.523390838751985,3.2443055321284344,4.527806063288597,75.0,66.9
23,male,bachelor,6.13,151,387,95,174,4.0,7.865600945132392,3.132428824497376,1.0,69.0,34.9
15,female,high school,6.76,164,331,124,90,6.0,6.3305997525454485,3.271158478203392,1.7527813466396194,73.0,35.2
24,male,bachelor,11.02,231,313,122,39,3.0,7.423249002384611,3.038712333042783,8.07887985080922,84.0,51.0
22,male,bachelor,12.48,224,417,170,90,3.0,4.766006483546857,2.9782793037250053,7.001216740897677,63.0,57.0
35,female,bachelor,11.85,222,204,37,67,3.0,6.011101692046727,2.984933455605882,4.204180628409801,57.0,51.3
27,male,phd,3.32,133,885,100,116,5.0,7.077577115405792,3.072124069222437,9.72065923325991,56.0,36.68415185296776
30,male,bachelor,4.65,103,210,14,0,5.0,6.69473895058118,3.1815988374425253,1.0,57.0,23.8
33,male,bachelor,4.64,113,127,126,27,0.0,7.07549632269612,2.7513781167027145,1.0,64.0,22.6
29,female,bachelor,3.68,68,181,181,154,6.0,7.318518213668383,3.240059586796022,4.869812029126416,68.0,17.4
16,female,high school,7.06,142,90,385,88,5.0,7.128620922143811,3.216225252507295,2.6971956161905064,68.0,28.2
32,female,high school,7.71,65,116,516,91,4.0,8.900078241033052,4.021626869140517,5.861260123184966,73.0,25.1
24,female,bachelor,14.11,304,513,119,201,5.0,4.967213167375155,3.125502584440785,7.943609228820064,65.0,70.3
40,male,phd,7.22,125,114,84,255,6.0,6.216191653139592,2.228027851608517,1.0,80.0,29.6
19,male,bachelor,6.39,141,358,284,88,6.0,7.170252058453191,3.164922535258474,4.589224213874888,62.0,33.7
41,female,bachelor,8.77,94,307,40,5,5.0,8.709585914150242,2.122429720870809,1.0,92.0,35.3
21,male,bachelor,4.8,121,162,131,0,2.0,9.7038497105626,4.916803221667725,1.0,71.0,23.2
33,female,bachelor,6.5,124,192,15,278,7.0,7.040865395249769,2.275307885559526,3.738606073721012,56.0,29.8
28,female,high school,7.85,147,301,157,294,0.0,6.129958162529038,2.797835914437316,9.341996801537755,54.0,37.4
20,male,bachelor,9.03,215,476,161,7,2.0,6.214215487910173,1.8166095030535268,1.0951332266290017,70.0,49.2
15,male,high school,1.87,66,225,269,76,1.0,8.537630998503028,3.868409649559285,10.0,63.0,12.9
28,female,bachelor,6.03,118,593,145,83,3.0,7.859058873063373,2.005099648481935,7.0748472190087055,72.0,37.5
38,female,bachelor,4.52,80,607,90,90,4.0,7.216386164564722,4.023483588960064,1.9660658279897647,70.0,32.0
20,male,high school,15.44,308,460,107,159,1.0,5.77495437963743,1.0,8.236066319967067,64.0,72.1
38,male,high school,5.59,93,259,135,149,2.0,7.379251272757045,2.7881416002822537,9.987385469360714,57.0,27.2
15,male,high school,4.62,140,1196,148,232,2.0,6.750925044656765,1.8523969805236848,7.070383079345659,50.0,50.9
17,male,high school,7.18,159,548,502,66,1.0,6.338070453031548,2.864629920297768,9.363926903424572,61.0,41.9
30,male,master,8.16,138,1203,154,71,3.0,6.924357060167975,2.969236088427201,10.0,74.0,59.8
16,male,high school,8.02,121,216,83,196,4.0,7.644014100986776,2.110074062357485,4.904964872687579,67.0,31.9
46,female,bachelor,4.85,116,182,13,120,3.0,7.957042851101498,3.9410468212099072,1.1267329842150715,53.0,26.2
27,female,bachelor,5.17,95,485,149,88,1.0,7.609198435178178,2.8476263955529464,1.1598958860136597,67.0,30.8
24,female,bachelor,5.31,74,73,385,34,1.0,7.923142579313484,1.7763961574433973,1.0,65.29930112427833,18.5
39,male,master,4.73,92,347,61,40,4.0,9.410587703270249,2.003646268027401,6.941787314630066,56.0,27.4
26,female,master,11.04,234,325,250,188,5.0,7.300526302946451,3.126453301076117,4.788943583823562,67.0,52.3
30,female,bachelor,4.04,78,504,154,82,5.0,8.77146394880482,3.098561336368652,6.83231480991926,65.29930112427833,27.5
31,female,bachelor,3.59,91,222,177,328,5.0,8.813515289892756,3.0546685544827903,9.80923826957339,54.0,20.8
17,female,high school,5.36,148,124,63,183,7.0,5.868555260390817,2.2824632140923176,1.4992806240062402,69.0,36.68415185296776
28,male,bachelor,10.52,241,138,235,32,2.0,5.863611624605928,1.897477501965941,2.1583105890244894,71.0,47.0
22,female,high school,4.82,133,111,154,166,0.0,6.557886825688028,3.7958043745256633,1.250549931411157,76.0,23.0
35,male,bachelor,10.88,204,164,76,38,6.0,7.578714602515447,2.258534589388062,3.730990135965859,65.29930112427833,45.9
29,female,bachelor,5.07,95,134,165,116,1.0,7.941461535050935,2.87326824750926,6.3602360825351845,51.0,22.3
20,female,bachelor,4.91,123,326,57,60,3.0,8.444298408667402,2.00805824966081,8.01479764456307,56.0,28.1
30,male,bachelor,8.49,170,514,132,234,5.0,7.057940168053154,1.1484402998821497,3.730535133689453,70.0,45.9
49,male,master,7.47,64,1200,28,71,3.0,7.651309898808945,1.91059312941754,5.027120475288755,70.0,53.8
22,male,bachelor,6.76,196,113,187,229,3.0,6.669612235595713,1.9795339846378983,3.970721811698872,70.0,36.68415185296776
33,male,master,8.5,215,458,158,106,3.0,7.68088891522971,3.0018800636076755,6.084840220555671,95.0,47.7
18,female,bachelor,5.58,163,301,162,202,4.0,7.411106249866445,2.1247969158064146,6.918927542414314,71.0,31.9
36,female,phd,7.79,127,830,187,42,7.0,9.300560706877537,3.325893376214758,6.748009127962276,76.0,49.1
22,male,bachelor,4.72,79,468,49,58,4.0,7.661759586121357,4.113944190068164,4.02380580987033,75.0,27.2
33,male,master,4.55,11,117,28,221,5.0,7.692987876536175,3.080209767366389,2.81200734372862,72.0,13.2
37,female,bachelor,6.03,142,237,167,0,7.0,7.492871265182833,3.2752580678207623,9.668476793266958,62.0,31.6
14,male,high school,6.49,127,544,226,98,5.0,7.65222602109492,3.1532771976177143,3.792794871354104,73.0,36.8
31,male,high school,2.68,44,217,80,202,3.0,8.944836890754859,4.030088009278263,7.039996051158368,57.0,14.4
46,male,bachelor,7.77,150,259,33,79,1.0,7.297938277348439,2.8050096552556725,2.221390480895151,63.0,37.7
22,female,bachelor,7.1,185,327,116,218,6.0,6.468121452125902,3.207572007573952,1.0,60.0,38.7
21,male,high school,3.66,78,160,326,2,4.0,10.04647868028408,4.086282033638041,1.0,66.0,17.0
19,female,high school,4.83,90,334,73,0,3.0,6.225707401005673,2.9157468333838783,7.101171356920445,88.0,24.3
16,male,high school,3.88,120,218,386,216,4.0,5.485115535963542,4.132295245829065,2.004521570318972,46.0,22.6
38,male,high school,9.8,183,297,142,147,5.0,7.549901783514444,2.087852857279267,1.0,72.0,45.3
46,female,master,12.27,275,826,12,75,3.0,7.185307035782743,1.0,8.08137997413193,49.0,73.9
28,female,bachelor,6.98,128,346,57,100,5.0,6.443519712301987,2.13231301236078,1.0,60.0,34.6
41,male,bachelor,7.37,112,214,210,168,6.0,7.079217375055401,2.2966172406501872,5.853818647511441,76.0,31.5
37,male,high school,9.51,158,217,122,52,3.0,6.722966770881093,2.001363031257815,1.1816323664810278,66.0,40.5
45,male,bachelor,4.48,39,466,105,180,5.0,7.390932646135059,3.1693641890848325,9.805543415822063,54.0,25.9
22,female,bachelor,5.64,178,82,70,117,7.0,6.889787908743505,3.293648237243523,5.581572234611816,58.0,28.5
30,female,master,9.84,213,122,336,0,1.0,7.756025000386788,1.0,2.2992981488364057,72.0,42.8
19,male,high school,5.24,100,526,103,97,5.0,6.2326238641302165,3.054564193454995,1.0,58.0,32.0
25,female,master,7.11,157,1196,63,277,1.0,7.561100407713013,1.699301774652409,4.234149531102935,67.0,58.7
34,male,master,3.25,85,215,58,0,6.0,9.46735071527788,3.221507922453452,1.0,65.0,19.2
24,male,master,13.62,301,187,83,211,4.0,5.129584077675505,1.1175524780549042,6.9552227374761255,58.0,60.7
27,male,bachelor,5.39,107,128,295,0,1.0,7.930447592980635,3.8294777727890215,5.29442013965722,86.0,22.7
31,female,bachelor,6.61,124,388,29,81,1.0,5.884999907416903,3.843451063900219,1.3083709084462791,71.0,34.4
34,male,master,14.34,303,316,51,0,2.0,6.5973429183889705,1.0,9.171735780262502,45.0,67.2
44,male,bachelor,7.11,115,331,102,36,2.0,7.3585403664847,2.9085940737164293,1.122103146605212,67.0,34.8
16,male,high school,6.53,216,47,142,241,3.0,6.288816461270095,1.9659076197257537,10.0,58.0,32.4
23,male,bachelor,9.85,230,311,89,127,3.0,8.99712344375545,1.931114134458632,10.0,74.0,48.4
22,female,high school,1.79,48,124,66,247,4.0,7.683498700532428,4.153035646486497,1.8935728010669648,57.0,9.4
20,male,bachelor,6.49,150,152,440,31,5.0,7.930277910110763,2.1581370508923348,8.809801513523475,64.0,29.6
28,male,high school,14.57,288,316,144,206,3.0,5.662681087185182,2.924860288945168,2.897601977747155,70.0,65.1
30,male,master,5.09,117,456,155,63,1.0,7.256756179340625,3.753712704157557,3.2357258706688925,74.0,31.8
23,female,master,3.57,74,274,109,37,1.0,7.709356436918653,3.874924273894064,9.305380138193147,53.0,19.9
44,male,bachelor,1.52,27,183,170,0,2.0,9.232888992706757,4.84028364632396,1.0,62.0,10.4
25,male,bachelor,4.45,100,176,219,55,3.0,6.651819360654118,3.0647320826162456,1.1589326341836488,60.0,21.6
